source	 target	 type
Udvalget for Fødevarer	 Landbrug og Fiskeri	Tina Nedergaard	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Lone Loklindt	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Lars Dohn	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Per Clausen	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Pernille Rosenkrantz-Theil	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Jacob Jensen	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Anita Christensen	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Erling Bonnesen	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Mette Reissmann	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Simon Kollerup	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Mette Bock	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Henrik Høegh	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Jesper Petersen	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	René Christensen	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Jan E. Jørgensen	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Charlotte Dyremose	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Trine Mach	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Orla Hav	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Dennis Flydtkjær	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Karina Lorentzen Dehnhardt	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Hans Christian Schmidt	suit
Kulturudvalget	Leif Lahn Jensen	suit
Kulturudvalget	Mette Bock	suit
Kulturudvalget	Rasmus Prehn	suit
Kulturudvalget	Eva Kjer Hansen	suit
Kulturudvalget	Alex Ahrendtsen	suit
Kulturudvalget	Lars Barfoed	suit
Kulturudvalget	Lone Loklindt	suit
Kulturudvalget	Jan Johansen	suit
Kulturudvalget	Holger K. Nielsen	suit
Kulturudvalget	Ellen Trane Nørby	suit
Kulturudvalget	Anni Matthiesen	suit
Kulturudvalget	Michael Aastrup Jensen	suit
Kulturudvalget	Annette Vilhelmsen	suit
Kulturudvalget	Zenia Stampe	suit
Kulturudvalget	Flemming Damgaard Larsen	suit
Kulturudvalget	Pernille Skipper	suit
Kulturudvalget	Brian Mikkelsen	suit
Kulturudvalget	Troels Ravn	suit
Kulturudvalget	Özlem Sara Cekic	suit
Kulturudvalget	Marlene Borst Hansen	suit
Kulturudvalget	Jørgen Arbo-Bæhr	suit
Kulturudvalget	Flemming Møller Mortensen	suit
Kulturudvalget	Ole Sohn	suit
Kulturudvalget	Morten Marinus	suit
Kulturudvalget	Eyvind Vesselbo	suit
Kulturudvalget	Pia Kjærsgaard	suit
Kulturudvalget	Kim Andersen	suit
Beskæftigelsesudvalget	Leif Lahn Jensen	suit
Beskæftigelsesudvalget	Jørgen Arbo-Bæhr	suit
Beskæftigelsesudvalget	Claus Hjort Frederiksen	suit
Beskæftigelsesudvalget	Nadeem Farooq	suit
Beskæftigelsesudvalget	Eigil Andersen	suit
Beskæftigelsesudvalget	Jan Johansen	suit
Beskæftigelsesudvalget	Hans Andersen	suit
Beskæftigelsesudvalget	Christian Juhl	suit
Beskæftigelsesudvalget	Pernille Rosenkrantz-Theil	suit
Beskæftigelsesudvalget	Louise Schack Elholm	suit
Beskæftigelsesudvalget	Jens Ejner Christensen	suit
Beskæftigelsesudvalget	Peter Juel Jensen	suit
Beskæftigelsesudvalget	Ane Halsboe-Jørgensen	suit
Beskæftigelsesudvalget	Bent Bøgsted	suit
Beskæftigelsesudvalget	Lennart Damsbo-Andersen	suit
Beskæftigelsesudvalget	Jakob Engel-Schmidt	suit
Beskæftigelsesudvalget	Mai Mercado	suit
Beskæftigelsesudvalget	Fatma Øktem	suit
Beskæftigelsesudvalget	Jens Joel	suit
Beskæftigelsesudvalget	Finn Sørensen	suit
Beskæftigelsesudvalget	Pia Adelsteen	suit
Beskæftigelsesudvalget	Peter Christensen	suit
Beskæftigelsesudvalget	René Christensen	suit
Beskæftigelsesudvalget	Joachim B. Olsen	suit
Beskæftigelsesudvalget	Jens Henrik Thulesen Dahl	suit
Beskæftigelsesudvalget	Özlem Sara Cekic	suit
Miljøudvalget	Anne-Mette Winther Christiansen	suit
Miljøudvalget	Esben Lunde Larsen	suit
Miljøudvalget	Mette Hjermind Dencker	suit
Miljøudvalget	Villum Christensen	suit
Miljøudvalget	Lone Loklindt	suit
Miljøudvalget	John Dyrby Paulsen	suit
Miljøudvalget	Torben Hansen	suit
Miljøudvalget	Anni Matthiesen	suit
Miljøudvalget	Per Clausen	suit
Miljøudvalget	Erling Bonnesen	suit
Miljøudvalget	Hans Christian Thoning	suit
Miljøudvalget	Annette Lind	suit
Miljøudvalget	Lars Dohn	suit
Miljøudvalget	Mette Reissmann	suit
Miljøudvalget	Simon Kollerup	suit
Miljøudvalget	Hans Kristian Skibby	suit
Miljøudvalget	Eyvind Vesselbo	suit
Miljøudvalget	Jens Joel	suit
Miljøudvalget	Lisbeth Bech Poulsen	suit
Miljøudvalget	Pia Adelsteen	suit
Miljøudvalget	Henrik Høegh	suit
Miljøudvalget	Flemming Møller Mortensen	suit
Miljøudvalget	Uffe Elbæk	suit
Miljøudvalget	René Christensen	suit
Miljøudvalget	Charlotte Dyremose	suit
Miljøudvalget	Lotte Rod	suit
Miljøudvalget	Hans Christian Schmidt	suit
Udvalget for Udlændinge- og Integrationspolitik	Marlene Borst Hansen	suit
Udvalget for Udlændinge- og Integrationspolitik	Karen J. Klint	suit
Udvalget for Udlændinge- og Integrationspolitik	Johanne Schmidt-Nielsen	suit
Udvalget for Udlændinge- og Integrationspolitik	Anders Samuelsen	suit
Udvalget for Udlændinge- og Integrationspolitik	Karsten Lauritzen	suit
Udvalget for Udlændinge- og Integrationspolitik	Peter Skaarup	suit
Udvalget for Udlændinge- og Integrationspolitik	Michael Aastrup Jensen	suit
Udvalget for Udlændinge- og Integrationspolitik	Inger Støjberg	suit
Udvalget for Udlændinge- og Integrationspolitik	Lennart Damsbo-Andersen	suit
Udvalget for Udlændinge- og Integrationspolitik	Jakob Engel-Schmidt	suit
Udvalget for Udlændinge- og Integrationspolitik	Zenia Stampe	suit
Udvalget for Udlændinge- og Integrationspolitik	Fatma Øktem	suit
Udvalget for Udlændinge- og Integrationspolitik	Pernille Vigsø Bagge	suit
Udvalget for Udlændinge- og Integrationspolitik	Pernille Skipper	suit
Udvalget for Udlændinge- og Integrationspolitik	Martin Henriksen	suit
Udvalget for Udlændinge- og Integrationspolitik	Tom Behnke	suit
Udvalget for Udlændinge- og Integrationspolitik	Karen Ellemann	suit
Udvalget for Udlændinge- og Integrationspolitik	Mette Reissmann	suit
Udvalget for Udlændinge- og Integrationspolitik	Marie Krarup	suit
Udvalget for Udlændinge- og Integrationspolitik	Christian Langballe	suit
Udvalget for Udlændinge- og Integrationspolitik	Troels Ravn	suit
Udvalget for Udlændinge- og Integrationspolitik	Jeppe Bruus	suit
Udvalget for Udlændinge- og Integrationspolitik	Jørgen Arbo-Bæhr	suit
Udvalget for Udlændinge- og Integrationspolitik	Martin Geertsen	suit
Udvalget for Udlændinge- og Integrationspolitik	Anne Sina	suit
Udvalget for Udlændinge- og Integrationspolitik	Karen Jespersen	suit
Udvalget for Udlændinge- og Integrationspolitik	Lotte Rod	suit
Udvalget for Udlændinge- og Integrationspolitik	Trine Bramsen	suit
Udvalget for Udlændinge- og Integrationspolitik	Karina Lorentzen Dehnhardt	suit
By- og Boligudvalget	Ida Auken	suit
By- og Boligudvalget	Alex Ahrendtsen	suit
By- og Boligudvalget	Karsten Lauritzen	suit
By- og Boligudvalget	Eigil Andersen	suit
By- og Boligudvalget	Lars Dohn	suit
By- og Boligudvalget	Jan Johansen	suit
By- og Boligudvalget	Liv Holm Andersen	suit
By- og Boligudvalget	Karina Adsbøl	suit
By- og Boligudvalget	Michael Aastrup Jensen	suit
By- og Boligudvalget	Nadeem Farooq	suit
By- og Boligudvalget	Fatma Øktem	suit
By- og Boligudvalget	Jane Heitmann	suit
By- og Boligudvalget	Thomas Jensen	suit
By- og Boligudvalget	Mette Reissmann	suit
By- og Boligudvalget	Simon Kollerup	suit
By- og Boligudvalget	Jens Joel	suit
By- og Boligudvalget	Martin Geertsen	suit
By- og Boligudvalget	Lisbeth Bech Poulsen	suit
By- og Boligudvalget	Louise Schack Elholm	suit
By- og Boligudvalget	Ole Birk Olesen	suit
By- og Boligudvalget	Morten Marinus	suit
By- og Boligudvalget	Charlotte Dyremose	suit
By- og Boligudvalget	Karen Jespersen	suit
By- og Boligudvalget	Rosa Lund	suit
By- og Boligudvalget	Orla Hav	suit
By- og Boligudvalget	Dennis Flydtkjær	suit
By- og Boligudvalget	Özlem Sara Cekic	suit
By- og Boligudvalget	Preben Bang Henriksen	suit
Kommunaludvalget	Sophie Løhde	suit
Kommunaludvalget	Mette Hjermind Dencker	suit
Kommunaludvalget	Rasmus Prehn	suit
Kommunaludvalget	Helle Løvgreen Mølvig	suit
Kommunaludvalget	Mikkel Dencker	suit
Kommunaludvalget	Finn Thranum	suit
Kommunaludvalget	Lars Dohn	suit
Kommunaludvalget	Jan Johansen	suit
Kommunaludvalget	Liv Holm Andersen	suit
Kommunaludvalget	Jacob Jensen	suit
Kommunaludvalget	Anita Christensen	suit
Kommunaludvalget	Erling Bonnesen	suit
Kommunaludvalget	Michael Aastrup Jensen	suit
Kommunaludvalget	Hans Christian Thoning	suit
Kommunaludvalget	Annette Lind	suit
Kommunaludvalget	Nadeem Farooq	suit
Kommunaludvalget	Torben Hansen	suit
Kommunaludvalget	Pernille Vigsø Bagge	suit
Kommunaludvalget	Thomas Jensen	suit
Kommunaludvalget	Simon Kollerup	suit
Kommunaludvalget	Finn Sørensen	suit
Kommunaludvalget	Martin Geertsen	suit
Kommunaludvalget	Lisbeth Bech Poulsen	suit
Kommunaludvalget	Mike Legarth	suit
Kommunaludvalget	Ole Birk Olesen	suit
Kommunaludvalget	Morten Marinus	suit
